"","1.BRAIN65","10.BRAIN26","11.BRAIN28","12.BRAIN33","3.BRAIN3","4.BRAIN6","5.BRAIN4","7.BRAIN17B","8.BRAIN19","9.BRAIN22","0.BRAIN35A","0.BRAIN35B","0.BRAIN37","0.BRAIN40","0.BRAIN42.D1","0.BRAIN49","0.BRAIN51","0.BRAIN63","0.BRAIN67","0.BRAIN69","0.BRAIN73","0.BRAIN75","1.BRAIN47","10.BRAIN38","11.BRAIN39","12.BRAIN72","2.BRAIN78","3.BRAIN79","4.BRAIN80","5.BRAIN84","6.BRAIN88","7.BRAIN82","8.BRAIN8","1.BRAIN12","10.14609.01.02.01","12.18404.01.15.01","2.14099.01.02.01","3.14329.01.02.01","4.13784.01.02.01","7.13836.01.02.01","9.11926.01.02.01","10.BRAIN205.A1.T.2.B4","12.BRAIN207.B2.T.2.B7","5.BRAIN56.B1.T.2.A5","7.BRAIN260.A2.T.2.A8","8.BRAIN259.B3.T.2.A9","9.BRAIN255.A2.T.2.B1","1.BRAIN261.B1.T.2.A7","10.BRAIN219.B1.T.2.C10","11.BRAIN224.C3.T.2.D1","12.BRAIN224.C6.T.2.D2","2.BRAIN207.B1.T.2.B8","5.BRAIN212.A2.T.2.C4","6.BRAIN215.B1.T.2.C5","7.BRAIN217.A2.T.2.C7","8.BRAIN217.A5.T.2.C8","9.BRAIN217.A6.T.2.C9","10.BRAIN250.B1.T.2.E12","3.BRAIN231.B1.T.2.D7","4.BRAIN234.A7.T.2.D10","5.BRAIN235.B1.T.2.D11","7.BRAIN236.A2.T.2.E1","8.BRAIN247.B5.T.2.E8","9.BRAIN247.B6.T.2.E10","1.BRAIN17B","10.BRAIN252.T.1.H3","11.BRAIN205.A1.T.2.B4","12.BRAIN207.B2.T.2.B7.dup","2.BRAIN19","3.BRAIN33","4.BRAIN37","5.BRAIN221.T.1.F8","7.BRAIN228.T.1.F12","8.BRAIN235.T.1.G5","9.BRAIN250.T.1.H2"
"AAAS",9.93513238645699,9.81088313976666,9.47055093650427,8.96911609746579,9.31191925548059,10.2900773199923,10.0629597655259,9.99312815174259,8.48164813895992,10.2257454430678,9.45909243991621,9.6522259910303,10.1107499290059,9.89740611417701,10.0484642238731,9.09811849476715,9.29348293346529,9.13935921675948,9.48175012668922,9.9450625933099,9.9306358264445,9.03652413893347,9.98142348468161,9.02819497695788,10.5238594903031,10.2235351223499,9.26857757035732,10.3285670276835,9.50320548051044,9.92424974099893,9.44039623815109,9.03177207927117,8.82061724595255,10.1436140261342,8.79511606135519,8.48592525006815,8.09185612407232,8.52999810812991,8.22297921025789,7.79858494011708,7.69688467785041,9.63151592237631,10.1261836136923,10.3752871075455,10.8092010374323,10.331860403804,10.6996407027841,10.1109596474212,9.92034205368989,10.0856582661074,9.57495781500058,11.4348812549019,10.751385469051,10.7491345094161,10.5497091561909,10.2677945152429,10.1647559235202,10.341007780598,9.44371308848527,10.2383382582532,9.78499031217809,10.9190939963451,9.89517986214841,9.45799690775125,10.0816505010027,9.45190450391396,9.83640075044374,10.3189032853924,8.70575805349137,9.12493331134923,10.3349128509357,9.93534302202777,10.313892340025,9.78255396534652,9.70697542028073
"ABCA12",6.97036087476797,8.97207540466637,8.49721130502789,7.40016591473326,6.35622248209742,8.57211268775612,8.71260685289648,8.26321731511034,5.15100282697145,9.22574544306783,7.58280918150212,8.20395216227752,9.63920040863639,9.34064050528651,9.3652490154845,7.13581920395237,7.41901381554915,7.03769724210017,8.54055489497227,9.56281502914873,8.81960451405576,6.74411513096616,8.84438677699816,7.30462723800722,9.53229632745177,9.50810268973334,7.41442843682078,9.98110384068896,7.89315199882645,9.62382891927503,9.10966224588839,-2.28846436597047,7.80443731889711,8.76279224219326,7.5592567897281,6.84924771280283,1.85899343642009,5.81510530336363,-0.807687925989056,3.77885287499289,3.80758814225663,12.2503701137365,5.26397493776392,1.35014754526694,-1.70255161633508,5.37430954439329,5.18827060836153,1.50362933367158,7.41145102700368,1.6678057512215,1.70459309541717,9.39457326624837,9.21809900310215,10.2450920040786,9.19655665256832,8.86258009844972,8.46735986693184,-0.0187417797243219,-1.35556853303665,4.41685710688701,6.34049992711228,1.59266450922282,3.11863716492153,4.29455011674903,8.50424139471319,5.68901447880655,12.3844934493362,5.23035284888446,4.93261884677168,7.69885600484344,9.62820507786219,0.701723345268064,0.969596432109191,-0.344150507496673,-0.509770437914581
"ABCA5",8.45035381588758,8.00064455686315,7.71203661781906,9.17018979747876,6.90982081190924,4.63800062341257,7.71260685289648,8.87433210368746,8.63603926175914,8.58363903524306,8.18267055860262,7.98427412563811,8.02797225322143,8.15197894126261,7.93640571668063,8.07142861668242,8.13838534970062,8.54394776680729,8.49722746330817,8.90299853374336,7.88846637220056,7.97171584330537,7.92912897723939,7.47589866515705,8.40485231017059,7.75321518756987,8.35302789215663,9.1162634239706,8.02373610863659,8.88456603952645,10.526998128704,8.84403536365804,6.6071358785235,8.75525856950786,7.22658534465306,9.69128447424515,6.50284962619481,7.89945457309986,8.98021463340238,7.34948045964168,8.79213606622059,7.78781915325498,6.27924169441723,7.10503504743041,7.39020552458477,6.79120498989271,6.21135422147457,5.75155684711516,6.69848091390646,8.52578674634908,5.95252060886076,6.55807199853125,8.55913592093722,8.70474039005769,8.79690968799107,8.30315268983571,8.38867097828653,6.6251144100504,7.66402219532123,6.97707294527248,7.23580254844559,4.91459260411019,6.87708248649818,6.60401424607034,8.84785331639401,1.18121983860785,7.71034724743734,5.96731844305067,8.62958637300597,9.39991557048747,7.81914786057359,4.40216306340916,5.61345262188392,6.43720920602799,6.86526899343234
"ABCB9",7.79568234335502,8.68577121950973,8.69796143260734,8.90659501290773,7.02407799116692,8.80792562485489,8.79312530027702,8.34860880634098,6.32577722807515,9.23273187338393,7.8957235328245,8.53724651211483,9.4697401181148,8.8327004247892,9.64195835821537,8.15289271731132,8.03758470891313,8.51213902857661,8.20576464914786,9.48511267215549,8.91871265906868,7.91606781375545,8.70996045677723,6.83607422940137,9.43215965616632,9.05089573621055,6.94920518037371,9.79580073808774,7.15618640466024,9.60999001180996,9.55159011688638,7.94275681474071,7.67989222095881,9.28635419825028,7.61149251465637,9.07239212531653,5.61669047217038,6.56410596245018,6.11117531128554,5.6376768120322,6.63355874248158,7.22839174464097,6.83866910303125,6.15750246732455,5.35273081916611,6.5881778934232,7.09205529310222,6.36161032879915,7.70589838546894,7.3682454693626,4.02652119030454,9.26378665871302,9.68044221715935,9.96430260398468,8.91671395904797,8.53549029844658,8.32192942741028,6.06872106152602,5.98428146984798,6.05953510546445,7.14510423815385,5.68012735047316,6.56047472354408,5.51027880780447,8.51549785005631,6.61027780820163,7.05468175537298,7.18335536934729,6.53253168895881,9.02239514963679,9.39613965018617,1.70172334526806,5.29152452699655,4.94125171136557,4.8477815667035
"ABCD1",6.83791057874432,7.39122901241745,7.08081852613703,6.51931318002627,4.95661502338818,3.41560820207613,7.18535985003161,7.38948108775651,5.42853680250035,5.2396846340257,6.82573601388734,6.02174883105677,7.72578809363248,7.57231074021097,5.49900040437333,5.44394149931471,5.91894021241451,5.94543873424818,6.89456296085356,6.92838385216327,6.80023918918883,5.99492323446669,7.41040017491832,6.7496594775839,7.23951457822393,4.97560760890632,5.52134364073729,8.36357347751138,6.90825889121666,6.58544782754717,6.50617965719643,5.54442564819427,7.28831369450396,7.58722067760981,6.15112215070395,6.01174318006553,6.16181270835975,5.5775264782125,5.90655759167707,5.89056326248991,5.23079957298117,6.06792707244772,6.72061334150954,1.35014754526694,6.81314822194896,6.3289855538838,6.84878414208986,1.50362933367158,6.62213002777634,1.6678057512215,5.79205593666751,7.37520794138144,5.72624590677247,7.0043006719166,7.16464147249156,6.97361141083847,6.89224515216703,5.15118322171799,6.61597502091412,6.99197182165182,6.35008597594148,1.59266450922282,6.22297382473626,5.99379604496608,7.63039994486912,7.10998493383913,4.56529691463406,6.51480623835316,5.56197546685129,6.57259223219727,8.24013462618362,6.12798809997016,5.21752394555278,5.53849254186517,4.49022956208542
"ABCD3",9.6997132848243,8.43674367166982,8.60296491867159,9.1589406563458,9.29532770257111,8.51714622853819,8.90202802996459,9.99710069681586,9.87644655124243,8.91428434723153,9.14259311922728,8.79704254388208,9.39243439194735,8.6644289421994,9.40589099998185,9.5006139484516,10.0184758859654,9.41227513410723,9.28433370152197,8.28347881098584,9.66045935136669,9.37697232179163,9.57414660143151,8.8402620263648,8.48527099262589,9.06307045015665,9.29393314463421,7.47752966680846,8.68084839511359,8.58544782754717,9.31831964181941,9.53609666399981,8.6133410280502,9.67368476835928,8.91351410068212,9.43069572934775,9.71336974018915,10.0753044084993,9.81984595848374,9.75341329713922,10.3247206470347,8.97293055851197,9.22508592437032,8.77641229996904,9.39745360808764,8.691768781683,8.89585239574664,9.16896525085675,9.38858691865195,8.1435391821879,8.82353416814068,7.59201933045459,7.39867124874397,6.17422567335891,8.06239141424361,8.39721092362073,8.76738326849112,8.52041703138371,9.44209299281711,9.16189682309413,9.43698669170608,8.47530755858467,9.11788556550839,9.07393411534373,9.91739424964709,9.19477514849932,8.76572400447371,9.24644682500476,9.77496919018549,8.94635925860425,9.12910331379488,8.61461268149803,8.62780791486099,9.55369494850884,8.95783511216842
"ABHD4",8.86539131516643,8.94082447068193,8.3474641855232,7.29104419235315,8.95661502338818,9.10677010662921,9.09930520317408,8.27198752473807,8.62033630356543,9.16860153596422,8.78942645018603,8.96034828639263,9.48223106229799,8.91626514142833,9.02256236043034,7.46232002862956,8.90859826819305,7.21751827968499,8.84703459077097,9.06436152168225,8.71662975653807,8.40611866745114,8.88986954679217,9.25215981811308,9.22917263400247,8.79760930692832,8.4004892458629,9.49567701351872,7.995721732467,9.30533990835444,8.51454313013106,7.41024030079987,8.14147230617469,8.32757686097679,8.5131182515488,7.62158034942571,8.35000260465264,8.24610509739846,7.53216207689557,7.72434630982516,8.04686119038968,7.38418641724839,8.58896933569906,7.45867200204511,8.05066513284387,6.69920920581194,7.64346523411235,7.48090925717149,8.69102510898741,5.3682454693626,7.22815505147419,8.65760767208217,7.89617090821479,9.45962789222116,8.83080005606069,8.50148140628168,9.08489023010943,7.29414117556003,7.9459276619459,8.6095021848294,8.47581589162445,6.72194752616779,8.01587759049633,7.51694253808548,8.06259216518703,7.45423833301427,7.27424813263067,8.65575706372157,8.58367053795061,7.27032266308038,9.36789017338199,7.69040803204023,6.01399055146764,7.67265778018988,7.93731278829507
"ABI1",9.93026115490429,10.1906351813596,10.4328038548806,10.6754887713606,10.6810563081602,11.3909785355674,10.8043930268425,10.6199108281584,10.0336458763333,10.8656744030069,10.3729462557461,10.3288036494626,10.9905722814162,10.8277284668267,10.4762803278732,10.5721672094766,10.7966844623635,10.146776688322,10.2766665707703,10.2300395520244,10.5066652023957,10.9170805867285,11.0675124613953,10.8895897387284,11.4332863216206,11.384998545044,10.5667782902821,10.7359913428524,10.6653710584946,10.760079831667,10.4063443896166,10.2245229434485,11.5015355299488,10.3477547429144,9.75659724875082,9.90898360564032,8.47447788191814,8.82169941558542,8.88754036550669,8.90043029194925,9.73778786287985,11.6315159223763,9.34056314179026,11.315931829929,9.47735747367985,9.2632410486635,9.89763240219192,9.95895655397614,9.99943487970008,10.1716314892173,10.5594614786774,10.7544692113348,11.1185633295512,10.3307301590389,10.2777804478423,9.68749339189163,9.70798785971736,10.4127558245337,10.1161066813554,11.0506678677102,10.4313533575634,11.4568506538771,9.71009717724261,8.7168410000392,10.5883767299734,10.2358241565685,11.7048482670329,9.39616174185454,10.1396331669492,10.7791897175649,11.0244059351282,10.5090782673257,10.3315402058444,10.3379662574534,9.74643825061281
"AGL",9.2196199019571,7.90888157817918,8.05895909217329,8.73919000344393,7.30289297969129,7.95992871829994,8.18535985003161,8.50185506663666,8.74141975778471,8.699116252663,8.19251834455897,8.12866403497328,9.17883891884806,8.56436198709548,9.6282834213183,8.67029193421984,9.40804269772815,8.49828904981559,8.92431030424761,9.23003955202437,8.86380431796629,8.69299981523931,9.28360764427056,8.11024919284037,9.35340554475191,9.0989900244116,8.47332212587434,9.17374891863136,8.10465610402016,9.18448551348005,9.35603930776857,8.75114015198328,8.57570337068684,8.89207525913823,7.46683915952436,8.81101072163741,8.10991512950823,8.3721027955488,8.10520141024091,8.03703959640405,8.80245581723923,7.97293055851197,8.47093731853076,8.88930635637497,8.73727926764631,8.54918376180733,8.25088258566121,8.99548243000125,8.53735992429759,8.1435391821879,8.77068228587495,8.41368208919608,8.91607046565249,9.09176351316693,8.73944410699249,8.57124032339578,8.63068213354991,7.85777516684068,8.08114300910057,8.63186999785786,8.67963731203186,8.0845176055525,7.91565014275767,7.63803435500284,8.54142631504684,8.01305486549276,7.75967495980091,8.4567032837896,8.74640003798872,8.79246905561494,9.26660683754481,7.02365144015543,7.93538071677128,8.86530285813228,7.87824684743055
"AHNAK",9.04436145621174,8.52086429283404,9.69087200782102,8.83064615967443,8.57445368035603,9.85855169792486,9.3913686576194,10.9238654893055,8.03142121121877,9.81070794378898,9.51248225256581,9.59743351818992,10.0945700019505,10.3931910273402,10.0381592154814,8.27748035317597,9.65074410146494,8.07549927481256,10.0405422666708,12.5836025355548,9.81639495757987,9.95010938711599,10.4259224470324,10.31067628268,9.35340554475191,10.0989900244116,9.05086715503302,10.1624336054035,8.19366111007891,9.86721879596255,9.12066124483764,8.91427167727969,9.43915285481537,9.31225606169303,6.8644820058227,7.83867847109265,7.92508262687786,6.85238631944308,8.36723775651162,7.68247945327952,9.9161125990348,12.8783096872029,10.039182424307,11.6181046296698,9.55247695348365,8.19224921709206,9.59162630259273,8.98744511093583,9.65698878498799,9.61032025656074,10.7435120847095,10.6656004628357,10.2576273672888,9.10233275487712,10.3769650579918,8.44754259917088,9.51951845774616,9.63230991145461,8.42742967588377,8.75051449435648,9.28910077460564,9.76258951066514,9.24103379628125,7.63344221836954,10.9660680963828,9.65391067785063,13.0828148943571,10.1964330406424,8.05415236411171,8.84803542472214,10.1024084471295,10.0789338756566,8.44532986307559,9.14569745294262,7.57769240333576
