Gene,Group
IGFBP2,1
NUMA1,1
HDAC5,1
ABI1,1
PLAT,1
MDK,1
E2F7,1
AURKA,1
GABBR1,1
FSTL1,1
DNAJC12,1
STEAP3,1
POSTN,1
RICTOR,1
SDC1,1
CHI3L1,1
RBP1,1
SNAP91,1
PTTG1,1
NLGN2,1
SMC4,1
SGMS1,1
BMP2,1
RRM2,1
WDR37,1
CDC6,1
CENPA,1
CDC20,1
SMOC1,1
KIAA0101,1
OAT,1
KIF18A,1
COL3A1,1
TYMS,1
CDCA2,1
NEGR1,1
PLK1,1
PCNA,1
CCNB2,1
EZH1,1
MADD,1
EXO1,1
DAP,1
ITPK1,1
GABRA3,1
ATP6V0A1,1
IDI1,1
HMMR,1
SPRY4,1
SF3A3,2
PSMB2,2
CAPZB,2
HDAC1,2
GNAI3,2
PPP1R8,2
HS3ST1,2
WASF2,2
TCEB3,2
ATRX,2
BCL10,2
MRTO4,2
RER1,2
SERBP1,2
NFYC,2
PABPC4,2
PEF1,2
TAF12,2
KCNIP2,2
L1CAM,2
SCP2,2
MOV10,2
F2RL1,2
MTF2,2
EVI5,2
ABCD3,2
AKR1A1,2
TGFB1,2
ETHE1,2
TMEM97,2
NOTCH2,2
PSENEN,2
SERTAD3,2
CYBB,2
VASP,2
RIPK2,2
SRXN1,2
EPB41,2
SHC3,2
RIT1,2
ID4,2
AKT2,2
GPR132,2
PTPN6,2
TUBGCP2,3
MAPK8IP2,3
KIF3C,3
SLC25A28,3
DOPEY1,3
RAD54L,3
BCL2L2,3
DLG5,3
TLX1,3
BIRC5,3
TSPO,3
CDC25C,3
ASPM,3
KIF5C,3
AURKB,3
NEK2,3
STAM,3
TPX2,3
UBE2I,3
FGF13,3
POLQ,3
GUCY1A3,3
H2AFX,3
HK2,3
KCNN1,3
DLG4,3
POLR1D,3
CCNE1,3
MAPK9,3
GTSE1,3
DST,3
NCSTN,3
HR,3
CXCR4,3
ARHGDIG,3
TRIB1,3
FOXM1,3
TUBB,3
CCR1,3
GOT1,4
ATP6V1E1,4
CHEK1,4
ATP6V1H,4
DTNB,4
DOCK9,4
CLP1,4
TOP2A,4
RABEP1,4
XRCC2,4
FAM126B,4
DTL,4
UROS,4
CDK4,4
NDUFB8,4
NCOA7,4
TP53,4
KIF1B,4
RBL1,4
CDKAL1,4
MDH1,4
TYRO3,4
YWHAB,5
CYCS,5
ABCB9,5
TLE3,5
B4GALT2,6
DBT,6
AAAS,6
GCNT2,6
PES1,6
HKDC1,6
LCAT,6
BUB3,6
HOPX,6
HEY1,6
